Date deployed ,Time deployed ,Date collect ,Time collected,UTM E,UTM N,Unit name ,SD card ,Habitat type,Plot,Mimi/Ashraft,Moved to SD folder,Team members ,Upload Folder,Record Size (GB),Missing Dev,Deployment Comments,CRP comments
5/5/2024,9:41 AM,8/27/2024,7:29 AM,0719577,1371347,R1434,19,2,T28,,y,"Khny Sokry,Phan Phanna,Berl Sman,Thak Lieng,Moeun Lita,Simone Groger",WA 29_8_24,586.03,No,,WA 29_9_24
8/27/2024,7:29 AM,,,0719575,1371348,R1434,,2,T28,,,"Khny Sokry,Dean Den,Myn Nak,Phan Phanna,Chek Sokkhon",,,Yes,,
5/3/2024,9:10 AM,8/23/2024,8:57 AM,0705918,1371299,R1435,17,3,T26,,y,"Khny Sokry,Phan Phanna,Berl Sman,Toeu Siha,Terk chanrichna,Simone Groger",WA 29_8_24,576.29,No,,
8/23/2024,8:57 AM,,,0705916,1371300,R1435,3814,3,T26,,,"Khny Sokry,Dean Den,Myn Nak,Chek Sokkhon",,,Yes,,
5/4/2024,10:16 AM,8/25/2024,9:07 AM,0712740,1371310,R1436,12,3,T27,,,"Khny Sokry,Phan Phanna,Toeu Siha,Simone Groger,Chek Sokkhon",WA 29_8_24,581.19,No,,
8/25/2024,9:07 AM,,,0712742,1371313,R1436,3812,3,T27,,,"Khny Sokry,Dean Den,Myn Nak,Phan Phanna",,,Yes,,
4/24/2024,8:38 AM,8/12/2024,11:17 AM,0712729,1364486,R1437,3818,3,T17,,,"Khny Sokry,phan phanna,Sorm Sormach,Chek Sokkhon",WA 18_8_24,566.57,No,,
12/8/2024,11:17 AM,,,0712733,1364487,R1437,3811,3,T17,,,"Khny Sokry,Dean Den,Myn Nak,Phan Phanna",,,Yes,,
5/2/2024,8:00 AM,8/25/2024,9:19 AM,0719507,1378163,R1438,3843,2,T36,,y,"Toeu Bann,Sorm Sormach,Nhev Thean,Toeu Chan,Sarin Phoeung",WA 29_8_24,591.9,No,,WA 29_9_24
8/25/2024,9:25 AM,,,0719507,1378163,R1438,3841,2,T36,,,"Toeu Bann,Moeun Lita,Thak Liang, Sorm Sormach",,,Yes,,
4/23/2024,12:27 PM,8/13/2024,1:30 PM,0712740,1357682,R1440,3817,3,T09,,,"Khny Sokry,Chek Sokkhon,Myn Nak",WA 18_8_24,576.55,No,,
8/13/2024,1:30 PM,,,0712747,1357686,R1440,3813,3,T09,,,"Khny Sokry,Dean Den,Phan Phanna",,,Yes,,
5/3/2024,11:20 AM,8/23/2024,8:31 AM,0705908,1378182,R1441,3844,2,T34,,,"Toeu Bann,Nhev Thean,Sarin Phoeung,Dean Den",WA 29_8_24,575.65,No,,
8/23/2024,8:36 AM,,,0705908,1378182,R1441,3842,2,T34,,,"Toeu Bann Sorm Sormach,Sarin Phoeung",,,Yes,,
2/5/2024,12:50 PM,8/23/2024,11:12 PM,0712744,1378133,R1442,15,3,T35,,y,"Toeu Bann,Sorm Sormach,Nhev Thean,Toeu Chan,Sarin Phoeung",WA 29_8_24,581.1,No,,
8/23/2024,11:17 AM,,,0712744,1378133,R1442,3818,3,T35,,,"Toeu Bann,Moeun Lita,Thak Liang, Sorm Sormach,Sarin Phoeung",,,Yes,,
4/23/2024,9:03 AM,8/15/2024,10:41 AM,0712838,1337257,R1443,3814,Chamka,T01,,,"Toeu Bann,Sarin Phoeung,Dean Den",WA 18_8_24,586.77,No,,
8/15/2024,10:50 AM,,,0712838,1337257,R1443,3826,Chamka,T01,,,"Toeu Bann,Sorm Sormach,Sarin Phoeung,",,,Yes,,
3/24/2024,8:30 AM,7/18/2024,7:35 AM,0692293,1371328,R1445,3824,3,T24,,,"Khny Sokry,Chek Sokkhon,Moeun Lita,Thak Liang,Sarin Phoeung",WA 19_7_24,596.59,No,,
7/18/2024,7:35 AM,,,0629295,1371329,R1445,3836,3,T24,,,"Khny Sokry,Moeun Lita,Thak Liang, Simone Groger, Phan Phanna",,,Yes,,
4/6/2024,1:29 PM,7/24/2024,9:05 AM,0705927,1385023,R1449,3829,3,T39,,y,"Khny Sokry,Myn Nak,phan phanna,Sorm Sormach,Moeun Lita,Thak Liang",WA 30_7_24,559.96,No,,
7/24/2024,9:05 AM,,,0705920,1385031,R1449,3840,3,T39,,,"Khny Sokry,Phan Phanna,Thak Lieng,Moeun Lita,Dean Den",,,Yes,,
3/23/2024,9:25 AM,7/16/2024,8:51 AM,0699070,1364489,R1452,3822,2,T15,,,"Toeu Bann,Sorm Sormach,Phan Phanna,Myn Nak,Dean Den",WA 19_7_24,591.51,No,,
